Epoch 0, Loss= 380.680023
Epoch 1, Loss= 169.039322
Epoch 2, Loss= 135.472931
Epoch 3, Loss= 135.164474
Epoch 4, Loss= 80.290840
Epoch 5, Loss= 76.917664
Epoch 6, Loss= 134.549866
Epoch 7, Loss= 75.868073
Epoch 8, Loss= 88.440826
Epoch 9, Loss= 96.926735
Epoch 10, Loss= 79.513550
Epoch 11, Loss= 44.049503
Epoch 12, Loss= 49.542091
Epoch 13, Loss= 53.688858
Epoch 14, Loss= 62.304054
Epoch 15, Loss= 51.981792
Epoch 16, Loss= 31.660124
Epoch 17, Loss= 30.862127
Epoch 18, Loss= 21.367756
Epoch 19, Loss= 38.215496
Epoch 20, Loss= 23.236267
Epoch 21, Loss= 18.091463
Epoch 22, Loss= 13.156403
Epoch 23, Loss= 15.448627
Epoch 24, Loss= 18.649296
Epoch 25, Loss= 16.677805
Epoch 26, Loss= 19.121439
Epoch 27, Loss= 31.057196
Epoch 28, Loss= 15.778010
Epoch 29, Loss= 12.129038
Epoch 30, Loss= 19.761547
Epoch 31, Loss= 10.533342
Epoch 32, Loss= 16.106899
Epoch 33, Loss= 15.662144
Epoch 34, Loss= 12.167405
Epoch 35, Loss= 17.472124
Epoch 36, Loss= 14.145445
Epoch 37, Loss= 21.090231
Epoch 38, Loss= 20.713093
Epoch 39, Loss= 16.317068
Epoch 40, Loss= 12.062087
Epoch 41, Loss= 6.749924
Epoch 42, Loss= 12.862594
Epoch 43, Loss= 14.309401
Epoch 44, Loss= 13.006552
Epoch 45, Loss= 11.654160
Epoch 46, Loss= 8.112444
Epoch 47, Loss= 7.599689
Epoch 48, Loss= 8.617387
Epoch 49, Loss= 18.550240
Epoch 50, Loss= 7.881574
Epoch 51, Loss= 11.058556
Epoch 52, Loss= 6.979868
Epoch 53, Loss= 6.934796
Epoch 54, Loss= 15.827719
Epoch 55, Loss= 12.969614
Epoch 56, Loss= 12.498702
Epoch 57, Loss= 7.515885
Epoch 58, Loss= 4.786694
Epoch 59, Loss= 8.714295
Epoch 60, Loss= 6.618720
Epoch 61, Loss= 5.527457
Epoch 62, Loss= 11.207226
Epoch 63, Loss= 10.194090
Epoch 64, Loss= 10.259825
Epoch 65, Loss= 5.776943
Epoch 66, Loss= 16.067087
Epoch 67, Loss= 6.038212
Epoch 68, Loss= 8.578729
Epoch 69, Loss= 8.268701
Epoch 70, Loss= 6.227992
Epoch 71, Loss= 6.246961
Epoch 72, Loss= 7.855077
Epoch 73, Loss= 4.834732
Epoch 74, Loss= 8.585490
Epoch 75, Loss= 5.745106
Epoch 76, Loss= 6.210687
Epoch 77, Loss= 7.452193
Epoch 78, Loss= 6.308953
Epoch 79, Loss= 8.659105
Epoch 80, Loss= 5.532473
Epoch 81, Loss= 7.024872
Epoch 82, Loss= 6.321879
Epoch 83, Loss= 5.018523
Epoch 84, Loss= 4.118110
Epoch 85, Loss= 6.210969
Epoch 86, Loss= 4.846380
Epoch 87, Loss= 3.042747
Epoch 88, Loss= 6.435742
Epoch 89, Loss= 3.976101
Epoch 90, Loss= 4.245581
Epoch 91, Loss= 4.571421
Epoch 92, Loss= 2.892851
Epoch 93, Loss= 12.224360
Epoch 94, Loss= 4.715516
Epoch 95, Loss= 6.284487
Epoch 96, Loss= 5.294307
Epoch 97, Loss= 3.264693
Epoch 98, Loss= 4.763845
Epoch 99, Loss= 7.062336
Epoch 100, Loss= 4.426623
Epoch 101, Loss= 4.077371
Epoch 102, Loss= 3.821683
Epoch 103, Loss= 3.561554
Epoch 104, Loss= 3.687783
Epoch 105, Loss= 6.368870
Epoch 106, Loss= 2.565240
Epoch 107, Loss= 2.485570
Epoch 108, Loss= 6.116191
Epoch 109, Loss= 4.173512
Epoch 110, Loss= 5.152319
Epoch 111, Loss= 3.382125
Epoch 112, Loss= 3.736186
Epoch 113, Loss= 3.501812
Epoch 114, Loss= 3.862844
Epoch 115, Loss= 3.519241
Epoch 116, Loss= 3.964423
Epoch 117, Loss= 3.867883
Epoch 118, Loss= 4.550423
Epoch 119, Loss= 5.087011
Epoch 120, Loss= 4.780825
Epoch 121, Loss= 2.069819
Epoch 122, Loss= 2.518534
Epoch 123, Loss= 3.271560
Epoch 124, Loss= 4.740910
Epoch 125, Loss= 2.404092
Epoch 126, Loss= 3.549866
Epoch 127, Loss= 2.800977
Epoch 128, Loss= 7.674538
Epoch 129, Loss= 3.267939
Epoch 130, Loss= 2.662771
Epoch 131, Loss= 2.928883
Epoch 132, Loss= 2.917343
Epoch 133, Loss= 2.562123
Epoch 134, Loss= 2.886014
Epoch 135, Loss= 2.623564
Epoch 136, Loss= 2.348756
Epoch 137, Loss= 2.398789
Epoch 138, Loss= 3.216782
Epoch 139, Loss= 4.358270
Epoch 140, Loss= 3.540527
Epoch 141, Loss= 2.555780
Epoch 142, Loss= 4.354031
Epoch 143, Loss= 2.900279
Epoch 144, Loss= 3.644062
Epoch 145, Loss= 2.660818
Epoch 146, Loss= 27.848454
Epoch 147, Loss= 4.803524
Epoch 148, Loss= 4.910245
Epoch 149, Loss= 2.999204
Epoch 150, Loss= 2.488465
Epoch 151, Loss= 2.428944
Epoch 152, Loss= 2.097532
Epoch 153, Loss= 1.883664
Epoch 154, Loss= 2.745013
Epoch 155, Loss= 2.094029
Epoch 156, Loss= 3.175161
Epoch 157, Loss= 2.171904
Epoch 158, Loss= 2.417570
Epoch 159, Loss= 3.214858
Epoch 160, Loss= 2.372582
Epoch 161, Loss= 4.158380
Epoch 162, Loss= 4.531453
Epoch 163, Loss= 2.759999
Epoch 164, Loss= 2.214782
Epoch 165, Loss= 2.622344
Epoch 166, Loss= 1.901094
Epoch 167, Loss= 2.125352
